id,cap_name,type,industry_tree_id,company_id,parentId,mpath,capability_lib_id,capability,tags,location,technologies,hierarchy_id
15759,Master Data,master,,,15634,6385.15512.15616.15628.15634.15759.,596,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15761,Optimize Dispatch,master,,,15634,6385.15512.15616.15628.15634.15761.,640,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15763,Storage Facility,master,,,15634,6385.15512.15616.15628.15634.15763.,912,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15765,Materials Planning,master,,,15628,6385.15512.15616.15628.15765.,599,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15767,Critical Materials Planning,master,,,15765,6385.15512.15616.15628.15765.15767.,324,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15769,Partner Planning,master,,,15765,6385.15512.15616.15628.15765.15769.,659,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15771,Production Planning,master,,,15628,6385.15512.15616.15628.15771.,755,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15773,Market Production Planning,master,,,15771,6385.15512.15616.15628.15771.15773.,590,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15775,Capital Expense Policies,master,,,15771,6385.15512.15616.15628.15771.15775.,207,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15777,Optimization,master,,,15771,6385.15512.15616.15628.15771.15777.,639,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15779,Labor & Materials,master,,,15771,6385.15512.15616.15628.15771.15779.,548,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15781,Outsourcing Design,master,,,15771,6385.15512.15616.15628.15771.15781.,651,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15783,Production Process Design,master,,,15771,6385.15512.15616.15628.15771.15783.,756,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15785,Requirements,master,,,15699,6385.15512.15616.15628.15699.15785.,818,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
